business_category,sub_category,brand,product,quantity,price,mainCategory,midCategory,category,qty,unit
Grocery/General Stores,Breakfast Cereals,MeraKisan,Organic Proso Millet,500 g Pouch,MRP: Rs 97,foodgrains-oil-masala,organic-staples,organic-millet-flours,500,g
Personal Care,Deo & Fragrance,Remy Marquis,Deodorant Spray - Marquis,175 ml,Rs 475,beauty-hygiene,fragrances-deos,body-sprays-mists,175,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Daawat,Basmati Rice/Basmati Akki - Rozana Gold,5 kg Pouch,Rs 450,foodgrains-oil-masala,rice-rice-products,basmati-rice,5,kg
Grocery/General Stores,Pooja essentials,Mangaldeep,Temple Yagna Gold Tradition Agarbatti Sticks,40 pcs,MRP: Rs 50,cleaning-household,pooja-needs,agarbatti-incense-sticks,40,pc
Grocery/General Stores,Breakfast Cereals,Slurrp Farm,"Millet Pancake Mix - Banana, Choco-Chip & Supergrains",150 g,MRP: Rs 149,snacks-branded-foods,breakfast-cereals,kids-cereal,150,g
Grocery/General Stores,Ghee and Oil,Jivo,Extra Light Olive Oil,5 L Tin,Rs 1714,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,5,l
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Aashirvaad,Atta/Godihittu - Whole Wheat,10 kg Pouch - Rs 395.00,Rs 395,foodgrains-oil-masala,atta-flours-sooji,atta-whole-wheat,10,kg
Grocery/General Stores,Breakfast Cereals,True Elements,Multigrain Diet Muesli,400 g,MRP: Rs 295,snacks-branded-foods,breakfast-cereals,muesli,400,g
Grocery/General Stores,Ghee and Oil,Anandham,Oil - Sesame,500 ml Pouch - Rs 145.00,Rs 145,foodgrains-oil-masala,edible-oils-ghee,gingelly-oil,500,ml
Grocery/General Stores,Household and Kitchen needs,Classic Essentials,Storage/Lunch Steel Container with PP Lid - Red,2 pcs,Rs 109,kitchen-garden-pets,steel-utensils,steel-lunch-boxes,2,pc
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Bel Normande,Sparkling Red Grape Juice,750 ml,Rs 395.25,gourmet-world-food,drinks-beverages,gourmet-juices-drinks,750,ml
Personal Care,Deo & Fragrance,Beverly Hills Polo Club,"Sports Men EDT + Deodorant, No 9 White",225 ml,Rs 664.30,beauty-hygiene,fragrances-deos,gift-sets,225,ml
Grocery/General Stores,"Spreads, Sauces and Canned Food",Habanero,Salsa - Tomato 270gm + Hot Sauce 75ml,Combo 2 Items,Rs 213.15,gourmet-world-food,sauces-spreads-dips,hummus-cheese-salsa-dip,2,pc
Grocery/General Stores,Household and Kitchen needs,Godrej Protekt,Germ Fighter Handwash Neem & Aloe Vera 750 ml + Disinfectant Spray Aqua 240 ml,Combo 2 Items,Rs 218.80,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,2,pc
Chicken and meat,Fish and seafood,ME FRESH,Crab - Blue,500 g,MRP: Rs 225,eggs-meat-fish,fish-seafood,other-seafood,500,g
Grocery/General Stores,Dairy products,London Dairy,Ice Cream - Kulfi,500 ml,Rs 382.50,gourmet-world-food,dairy-cheese,gourmet-ice-cream,500,ml
Grocery/General Stores,"Tea , Coffee and Powders",Nescafe,"Gold Blend Rich and Smooth Coffee Powder, with Free Glass Mug",100g,Rs 475,gourmet-world-food,drinks-beverages,coffee-pre-mix,100,g
Personal Care,Body Care,Nice,Body Sponge,1 pc,MRP: Rs 135,beauty-hygiene,bath-hand-wash,bathing-accessories,1,pc
Grocery/General Stores,"Utensils, Plastics & Storage",Anjali,Vegetable Knife - Fantastiqe,1 pc,Rs 85,kitchen-garden-pets,kitchen-accessories,knives-peelers,1,pc
Personal Care,Skin Care,Clean & Clear,J&J Acne Tr M/S Maximum Strength Persa Gel 10,28 g,Rs 3999,beauty-hygiene,skin-care,face-care,28,g
Grocery/General Stores,Breakfast Cereals,True Elements,Whole Instant Oats - Gluten Free,900 g - Rs175.00,Rs 175,gourmet-world-food,cereals-breakfast,imported-oats-porridge,900,g
Grocery/General Stores,"Tea , Coffee and Powders",Evian,Natural Mineral Water - Imported,500 ml Bottle,MRP: Rs 150,gourmet-world-food,drinks-beverages,aerated-still-sparkling,500,ml
Grocery/General Stores,Breakfast Cereals,Kelloggs,Chocos Duet,375 g,MRP: Rs 180,snacks-branded-foods,breakfast-cereals,kids-cereal,375,g
Personal Care,Oral Care,Colgate,Super Shine Soft Bristle Toothbrush,1 pc - Rs 20.00,MRP: Rs 20,beauty-hygiene,oral-care,toothbrush,1,pc
Milk & Milk Products,Flavoured Soya Milk,Amul,Smoothie - Mango,200 ml,MRP: Rs 30,bakery-cakes-dairy,dairy,flavoured-soya-milk,200,ml
Grocery/General Stores,Household and Kitchen needs,Origami,"Luncheon Napkins - Printed (1 Ply, 32 cm x 32 cm)",50 pcs Pouch,MRP: Rs 48,cleaning-household,disposables-garbage-bag,toilet-paper,50,pc
Grocery/General Stores,Biscuits and Cookies,Unibic,Cookies - Pista Badam,75 g Pouch,Rs 22.50,snacks-branded-foods,biscuits-cookies,cookies,75,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",B Natural,Pineapple Poise,1 L Carton,Rs 110,beverages,fruit-juices-drinks,unsweetened-cold-press,1,l
Grocery/General Stores,Household and Kitchen needs,Polyset,Java Plastic Dustbin / Garbage Bin - Matt Brown,7 L,Rs 269,cleaning-household,bins-bathroom-ware,dustbins,7,l
Grocery/General Stores,Household and Kitchen needs,Rajwadi,Cloth Clip,12 pcs,MRP: Rs 180,cleaning-household,bins-bathroom-ware,hangers-clips-rope,12,pc
Personal Care,Body Care,Neutrogena,Fragrance Free Liquid Neutrogena Facial Cleansing Formula,236ml,"₹ 1,500.00",beauty-hygiene,skin-care,body-care,236,ml
Personal Care,Baby Care,Mee Mee,Baby 2 In 1 Feeding Bottle With Spoon - Green,250 ml - Rs 249.00,MRP: Rs 249,baby-care,feeding-nursing,baby-dishes-utensils,250,ml
Grocery/General Stores,Biscuits and Cookies,Britannia,Pure Magic Deuce Vanilla Biscuits,100 g Pouch,Rs 30,gourmet-world-food,chocolates-biscuits,cookies-biscotti-wafer,100,g
Grocery/General Stores,Batteries and Electonic Acessories ,Eveready,Carbon Zinc Battery Red AAA 1012,4 pcs - Rs55.00,Rs 55,kitchen-garden-pets,appliances-electricals,battery-electrical,4,pc
Grocery/General Stores,Frozen Veggies & Snacks,Farmland,Frozen Vegetables- Sweet Corn,500 g,Rs 88,snacks-branded-foods,frozen-veggies-snacks,frozen-vegetables,500,g
Grocery/General Stores,Household and Kitchen needs,Good Morning,Bed Bug Killer Powder,14 g,MRP: Rs 100,cleaning-household,fresheners-repellents,insect-repellent,14,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",MTR,Sambar Powder 200 g + Rasam Powder 200 g + Puliogare Powder 200 g,Combo 3 Items,Rs 304,foodgrains-oil-masala,masalas-spices,blended-masalas,3,pc
Grocery/General Stores,Party Essentials,Boing,"Holi Pichkari / Water Gun, Mickey Mouse - Red",1 pc,MRP: Rs 199,cleaning-household,party-festive-needs,holi-colours-pichkari,1,pc
Grocery/General Stores,Candies and Mints,Ice Breakers,"Sugar Free Sours - Mixed Berry, Strawberry + Cherry",42 g,MRP: Rs 249,snacks-branded-foods,chocolates-candies,mints-chewing-gum,42,g
Grocery/General Stores,Dairy products,Amul,"Pizza Cheese - Mozzarella, Diced",1 kg Pouch,MRP: Rs 450,bakery-cakes-dairy,dairy,cheese,1,kg
Grocery/General Stores,Chips and Crisps,Kari Kari,Chilli Garlic,135 g,Rs 99,snacks-branded-foods,snacks-namkeen,chips-corn-snacks,135,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Eco Fresh,Organic Food - Jaggery/Bella Granules,500 g Pouch Pack,MRP: Rs 80,foodgrains-oil-masala,organic-staples,organic-sugar-jaggery,500,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",Epicure,"Organic Chickpeas - In Water, No Added Salt, Rich Source Of Vegetarian Protein",400 g,MRP: Rs 250,gourmet-world-food,tinned-processed-food,beans-pulses,400,g
Grocery/General Stores,"Utensils, Plastics & Storage",Anjali,Veg Knife - Swift,1 pc,Rs 60,kitchen-garden-pets,kitchen-accessories,knives-peelers,1,pc
Grocery/General Stores,Ghee and Oil,Chekko,Virgin Mustard Oil/Kachi Ghani - Cold Pressed & Unrefined,1 L,MRP: Rs 365,foodgrains-oil-masala,edible-oils-ghee,other-edible-oils,1,l
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",NutraHi,"Pasta - Fussilli Quinoa, Gluten free",200 g,MRP: Rs 220,snacks-branded-foods,noodle-pasta-vermicelli,instant-pasta,200,g
Grocery/General Stores,Household and Kitchen needs,Scotch brite,Kitchen Towel,1 pc,Rs 138.45,cleaning-household,mops-brushes-scrubs,dust-cloth-wipes,1,pc
Grocery/General Stores,"Utensils, Plastics & Storage",Prestige,Svachh Hard Anodised Clip On Pressure Cooker (20241),3 L,Rs 3219,kitchen-garden-pets,cookware-non-stick,pressure-cookers,3,l
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Real Thai,Red Curry,400 g,MRP: Rs 270,foodgrains-oil-masala,masalas-spices,cooking-pastes,400,g
Personal Care,Skin Care,Nivea,"Soft Light Moisturiser For Face, Hand & Body - Non-Sticky Cream With Vitamin E & Jojoba Oil",100 ml,Rs 148,beauty-hygiene,skin-care,face-care,100,ml
Grocery/General Stores,"Spreads, Sauces and Canned Food",Habanero,Jalapeno Pasta Sauce 385 g + Sriracha Chilli Sauce 185 g + Hot Sauce 75 ml,Combo 3 Items,Rs 418.66,snacks-branded-foods,spreads-sauces-ketchup,chilli-soya-sauce,3,pc
Grocery/General Stores,Household and Kitchen needs,Liao,Wet Mop - Floor Cotton With Steel Stick,1 pc,Rs 319,cleaning-household,mops-brushes-scrubs,mops-wipers,1,pc
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Chings,Secret Tomato Soup,55 g - Rs44.00,Rs 44,snacks-branded-foods,ready-to-cook-eat,soups,55,g
Grocery/General Stores,"Utensils, Plastics & Storage",Nakoda,Excel Plastic Laundry Basket - Medium,40 L,Rs 429,cleaning-household,bins-bathroom-ware,laundry-storage-baskets,40,l
Grocery/General Stores,"Utensils, Plastics & Storage",Hawkins,"Stainless Steel Tri-Ply Frying Pan With Glass Lid - 26 cm, SSF26G",1 pc,Rs 1649,kitchen-garden-pets,cookware-non-stick,kadai-fry-pans,1,pc
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Rasna,"Fruit Juice - Fruit Plus, Florida Orange",750 g Pouch,Rs 210,beverages,fruit-juices-drinks,syrups-concentrates,750,g
Grocery/General Stores,Ghee and Oil,Tez,Oil - Mustard (Kachchi Ghani),500 ml Bottle,Rs 103,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,500,ml
Grocery/General Stores,Bread and bakery,DONUT HOUSE,Donut - Irish Coffee,3 pcs,MRP: Rs 210,bakery-cakes-dairy,cakes-pastries,doughnuts-mousses,3,pc
Grocery/General Stores,Candies and Mints,ALPENLIEBE,Juzt Jelly - Strawberry Flavour,18 pcs Pouch,MRP: Rs 20,snacks-branded-foods,chocolates-candies,toffee-candy-lollypop,18,pc
Milk & Milk Products,Milk,Amul,Double Choc Milkshake,180 ml Tetra Pak,MRP: Rs 30,bakery-cakes-dairy,dairy,flavoured-soya-milk,180,ml
Grocery/General Stores,Pickles & Chutney,IndiSecrets,Organic Homestyle Mixed Veg Pickle,250 g,Rs 99,snacks-branded-foods,pickles-chutney,other-veg-pickle,250,g
Grocery/General Stores,Indian Sweets,Haldirams,Soan Papdi - Coconut,250 g Pouch,MRP: Rs 70,snacks-branded-foods,indian-mithai,tinned-packed-sweets,250,g
Personal Care,Men's Grooming,Gillette,Pre Shave Cream - Lime,70 g Tube,Rs 75,beauty-hygiene,mens-grooming,moustache-beard-care,70,g
Grocery/General Stores,Stationery,Pidilite,FeviCreate My Crafting Glue Kit,3 pcs,Rs 97,cleaning-household,stationery,games-calculators,3,pc
Grocery/General Stores,Health care,Skore,Lube - Cool Sensation,50 ml,MRP: Rs 300,beauty-hygiene,health-medicine,sexual-wellness,50,ml
Grocery/General Stores,Chips and Crisps,Cornitos,Nacho Crisps - Sweet Chili,150 g Pouch - Rs 76.50,Rs 76.50,gourmet-world-food,snacks-dry-fruits-nuts,nachos-chips,150,g
Grocery/General Stores,Frozen Veggies & Snacks,Yummiez,Premium Sausages,500 g Pouch,MRP: Rs 225,snacks-branded-foods,frozen-veggies-snacks,frozen-non-veg-snacks,500,g
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Organic Tattva,Sonamasuri Rice/Akki - White Polished,5 kg Pouch - Rs 522.50,Rs 522.50,foodgrains-oil-masala,organic-staples,organic-rice-other-rice,5,kg
Personal Care,Hair Care,Schwarzkopf,Taft Shine Gel Wax,75 ml,Rs 279.23,beauty-hygiene,hair-care,hair-styling,75,ml
Grocery/General Stores,Indian Sweets,Sangam Sweets,Chocolate Burfi,500 g,MRP: Rs 320,snacks-branded-foods,indian-mithai,fresh-sweets,500,g
Personal Care,Body Care,Himalaya,Nourishing Body Lotion,400 ml - Rs 189.00,Rs 189,beauty-hygiene,skin-care,body-care,400,ml
Grocery/General Stores,Household and Kitchen needs,HIT,Cockroach Killer Spray,700 ml - Rs 266.00,Rs 266,cleaning-household,fresheners-repellents,insect-repellent,700,ml
Grocery/General Stores,Household and Kitchen needs,Milton,"Water Flask - Insulated Thermosteel, Flip Lid , Silver",750 ml,Rs 849,kitchen-garden-pets,flask-casserole,vacuum-flask,750,ml
Grocery/General Stores,Biscuits and Cookies,Marshmelts,Veg Marshmallow - Vanilla Mist,175 g - Rs 279.00,Rs 279,gourmet-world-food,chocolates-biscuits,marshmallow-candy-jelly,175,g
Grocery/General Stores,"Utensils, Plastics & Storage",Anjali,Universal Knife - Fantastiqe,1 pc,Rs 85,kitchen-garden-pets,kitchen-accessories,knives-peelers,1,pc
Grocery/General Stores,Batteries and Electonic Acessories ,Duracell,Ultra Alkaline Battery AA,4 pcs - Rs 143.00,Rs 143,kitchen-garden-pets,appliances-electricals,battery-electrical,4,pc
Grocery/General Stores,Bread and bakery,Winkies,Centre Filled Cup Cake - with Vanilla Cream,35 g,MRP: Rs 10,bakery-cakes-dairy,cakes-pastries,muffins-cup-cakes,35,g
Grocery/General Stores,Chocolates,Lindberg,Orange - Pure Belgian Dark Chocolate,50 g,Rs 119,gourmet-world-food,chocolates-biscuits,international-chocolates,50,g
Grocery/General Stores,Chocolates,Galaxy,Smooth Milk Chocolate Bar,90 g - Rs 110.00,Rs 110,gourmet-world-food,chocolates-biscuits,international-chocolates,90,g
Milk & Milk Products,Flavoured Soya Milk,Nestle,"Flavoured Drink - Nesquik, Chocolate",300 g,MRP: Rs 700,gourmet-world-food,dairy-cheese,milk-soya-drinks,300,g
Personal Care,Hair Care,Dabur Vatika,Vatika - Enriched Coconut with Hibiscus Hair Oil,150 ml,MRP: Rs 84,beauty-hygiene,hair-care,hair-oil-serum,150,ml
Personal Care,Hair Care,Love Beauty and Planet,Natural Coconut Water & Mimosa Volume Shampoo & Conditioner Combo,400ml,Rs 1250,beauty-hygiene,hair-care,shampoo-conditioner,400,ml
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Ask Foods,Tutti Frutti,100 g,MRP: Rs 30,snacks-branded-foods,ready-to-cook-eat,home-baking,100,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",HappyChef,Custard Powder,100 g,Rs 31.50,snacks-branded-foods,ready-to-cook-eat,home-baking,100,g
Personal Care,Men's Grooming,Gillette,Mach 3 Manual Shaving Razor,1 pc,RS 180.00,beauty-hygiene,mens-grooming,moustache-beard-care,1,pc
Grocery/General Stores,Ghee and Oil,Phalada Pure & Sure,Organic - Coconut Oil Cold Pressed,250 ml Bottle,MRP: Rs 195,foodgrains-oil-masala,organic-staples,organic-edible-oil-ghee,250,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Daawat,Basmati Rice/Basmati Tandul - Rozana Mini 60 (Old),10 Kg,Rs 600,foodgrains-oil-masala,rice-rice-products,basmati-rice,10,kg
Personal Care,Body Care,Himalaya Wellness,"Hand Sanitizer - Litchi, Pure Hands",100 ml,Rs 46,beauty-hygiene,bath-hand-wash,hand-wash-sanitizers,100,ml
Grocery/General Stores,"Utensils, Plastics & Storage",Le Kaviraj,Tadka Pan - Aluminium,250 ml,Rs 190,kitchen-garden-pets,cookware-non-stick,kadai-fry-pans,250,ml
Personal Care,Deo & Fragrance,Layerr,Wottagirl! Perfume Spray - Pink Angel,135 ml,Rs 156,beauty-hygiene,fragrances-deos,perfume,135,ml
Grocery/General Stores,Party Essentials,Aarna,Christmas Decoration - Wall Hanging Merry Christmas Banner,1 pc,MRP: Rs 225,cleaning-household,party-festive-needs,decorations,1,pc
Grocery/General Stores,Household and Kitchen needs,Gebi,Dust Pan With Brush Set - Assorted,2 pcs,Rs 99,cleaning-household,mops-brushes-scrubs,brooms-dust-pans,2,pc
Grocery/General Stores,Ghee and Oil,Oleev,"Extra Light Olive Oil - Frying, Sauteing & Grilling",2 L - Rs 1002.00,Rs 1002,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,2,l
Grocery/General Stores,Household and Kitchen needs,Domex,Fresh Guard Ocean Fresh Disinfectant Toilet Cleaner,750 ml - Rs 80.00,Rs 80,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,750,ml
Grocery/General Stores,"Tea , Coffee and Powders",iD,Traditional Filter Coffee Decoction,150 ml - Rs 76.00,Rs 76,beverages,coffee,instant-coffee,150,ml
Grocery/General Stores,Pet food and accessories,Glenand,"Padded Lead - 1 inch, Blue Colour",1 Pc,MRP: Rs 730,kitchen-garden-pets,pet-food-accessories,pet-collars-leashes,1,pc
Grocery/General Stores,Dairy products,Epigamia,"Greek Yogurt - Mixed Berry, No Added Sugar",120 g Cup - Rs 70.00,MRP: Rs 70,bakery-cakes-dairy,dairy,yogurt-shrikhand,120,g
Grocery/General Stores,"Utensils, Plastics & Storage",Asian,Plastic Casserole For Roti/Chapati - Sonic Green,3 pcs Box,Rs 459,kitchen-garden-pets,flask-casserole,casserole,3,pc
Grocery/General Stores,Batteries and Electonic Acessories ,Panasonic,Alkaline Battery AAA-1B6,6 pcs,Rs 215,kitchen-garden-pets,appliances-electricals,battery-electrical,6,pc
Grocery/General Stores,"Utensils, Plastics & Storage",Prestige,Svachh Aluminium Outer Lid Pressure Cooker (10726),5 L,Rs 1980,kitchen-garden-pets,cookware-non-stick,pressure-cookers,5,l
Grocery/General Stores,Pet food and accessories,Pedigree,"Oral Care Dentastix 10-25kg Dogs, 720 g+Wet Chicken Chunks (Puppy) 80 g 15 Packs",Combo 2 Items,Rs 1032.91,kitchen-garden-pets,pet-food-accessories,pet-meals-treats,2,pc
Grocery/General Stores,Household and Kitchen needs,Dettol,Hygiene Liquid-Lime Fresh 500ml + Disinfectant Spray-Spring blossom 225ml,Combo 2 Items,Rs 295.74,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,2,pc
Grocery/General Stores,"Spreads, Sauces and Canned Food",Veeba,Pasta & Pizza Sauce Chef's Special,100 g Pouch,MRP: Rs 34,snacks-branded-foods,spreads-sauces-ketchup,jam-conserve-marmalade,100,g
Grocery/General Stores,Household and Kitchen needs,Mamaearth,Natural Mosquito Repellent Patches,24 pcs - Rs 199.00,MRP: Rs 199,cleaning-household,fresheners-repellents,mosquito-repellent,24,pc
Grocery/General Stores,"Spreads, Sauces and Canned Food",Yoga bar,"Dark Chocolate Peanut Butter - Creamy & Chocolatey, Chia Seeds, Cocoa",1 kg,Rs 349.30,gourmet-world-food,sauces-spreads-dips,chocolate-peanut-spread,1,kg
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Tasties,Papad - Chana Masala,200 g,Rs 59,snacks-branded-foods,ready-to-cook-eat,papads-ready-to-fry,200,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Tata,Water Plus,1 L Pet Bottle,Rs 20,beverages,water,spring-water,1,l
Grocery/General Stores,"Spreads, Sauces and Canned Food",Veeba,Sauce - English Mustard,300 g,MRP: Rs 74,snacks-branded-foods,spreads-sauces-ketchup,tomato-ketchup-sauces,300,g
Grocery/General Stores,Pet food and accessories,Drools,"Dog Food - Optimum Performance, Adult",10 kg - Rs 1104.15,Rs 1104.15,kitchen-garden-pets,pet-food-accessories,pet-feeding-support,10,kg
Grocery/General Stores,Biscuits and Cookies,Unibic,Cookies - Daily Digestive Oatmeal,150 g (1+1) - Rs 50.00,MRP: Rs 50,snacks-branded-foods,biscuits-cookies,marie-health-digestive,150,g
Grocery/General Stores,"Tea , Coffee and Powders",VAHDAM,Black Tea - Darjeeling Premium Summer,250 g,Rs 699.30,beverages,tea,leaf-dust-tea,250,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Balaji foods,Papad - Triangle,200 g,MRP: Rs 35,snacks-branded-foods,ready-to-cook-eat,papads-ready-to-fry,200,g
Personal Care,Men's Grooming,Ponds,Men - Pimple Clear Face Wash,100 g - Rs 153.75,Rs 153.75,beauty-hygiene,mens-grooming,face-body,100,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Hoegaarden 0.0,Rosee Non Alcoholic 0.0% Beer,330 ml (Pack of 6),Rs 402,gourmet-world-food,drinks-beverages,non-alcoholic-beer-wine,330,ml
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Tata Gluco,Gluco+ Lemon,200 ml Closed Cup,MRP: Rs 10,beverages,energy-soft-drinks,sports-energy-drinks,200,ml
Grocery/General Stores,"Spreads, Sauces and Canned Food",Veeba,Classic Imli Sauce - No Added preservatives,360 g,Rs 94,snacks-branded-foods,spreads-sauces-ketchup,tomato-ketchup-sauces,360,g
Grocery/General Stores,Stationery,Doms,Painting Kit,1 pc,Rs 195,cleaning-household,stationery,colours-crayons,1,pc
Grocery/General Stores,Frozen Veggies & Snacks,McCain,"Crazy Fries - Masala Mix, Herb 'n' Garlic",400 g,Rs 108,snacks-branded-foods,frozen-veggies-snacks,frozen-veg-snacks,400,g
Grocery/General Stores,Bread and bakery,The Baker's Dozen,Wholewheat Sandwich Loaf - 100% Whole Wheat,210 gm,MRP: Rs 49,bakery-cakes-dairy,breads-buns,brown-wheat-multigrain,210,g
Personal Care,Baby Care,Bio-Oil,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",200 ml,Rs 960,baby-care,mothers-maternity,maternity-personal-care,200,ml
Grocery/General Stores,Chocolates,Fabelle,Milk Choco Mousse With Nuts & Berries Bar,121 g,Rs 470.25,gourmet-world-food,chocolates-biscuits,luxury-chocolates-gifts,121,g
Personal Care,Baby Care,Johnson's baby,Skin Care Wipes,20 pcs - Rs 75.00,MRP: Rs 75,baby-care,diapers-wipes,baby-wipes,20,pc
Grocery/General Stores,Breakfast Cereals,Quaker,Oats Crispy Granola - Raisin & Almonds,400 g,Rs 350,snacks-branded-foods,breakfast-cereals,oats-porridge,400,g
Personal Care,Baby Care,Pampers,Premium Care XXL - 60 Diaper Pants,60 pcs,Rs 1583.28,baby-care,diapers-wipes,baby-nappy-pads,60,pc
Grocery/General Stores,Health care,Dabur Nature Care,Isabgol - Double Action (Relief from Constipation),100 g,Rs 112.50,beauty-hygiene,health-medicine,ayurveda,100,g
Grocery/General Stores,Household and Kitchen needs,Exo,Dishwash Bar - Touch & Shine,300 g - Rs 18.00,Rs 18,cleaning-household,detergents-dishwash,dishwash-bars-powders,300,g
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Safe Harvest,Ponni Boiled Rice/Kusubalakki - Pesticide Free,1 kg,Rs 84.15,foodgrains-oil-masala,rice-rice-products,boiled-steam-rice,1,kg
Grocery/General Stores,Health Drinks & Supplements,Horlicks,"Women's Plus, Caramel",400 g Carton - Rs 240.00,MRP: Rs 240,beverages,health-drink-supplement,men-women,400,g
Grocery/General Stores,Household and Kitchen needs,Genteel,Genteel Liquid Detergent,1 kg (Pack of 2),Rs 269,cleaning-household,detergents-dishwash,detergent-powder-liquid,1,kg
Grocery/General Stores,"Spreads, Sauces and Canned Food",Under The Mango Tree,Honey - Litchi,200 g Jar - Rs 265.00,MRP: Rs 265,snacks-branded-foods,spreads-sauces-ketchup,jam-conserve-marmalade,200,g
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains
",India Gate,Quinoa,500 g,Rs 219,foodgrains-oil-masala,dals-pulses,cereals-millets,500,g
Personal Care,Hair Care,Charmis,Deep Radiance Face Wash,50ml,Rs 70,beauty-hygiene,hair-care,hair-oil-serum,50,ml
Grocery/General Stores,Ghee and Oil,Oleev,Extra Virgin Olive Oil - Garnishing & Salad Dressing,500 ml - Rs 400.00,Rs 400,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,500,ml
Personal Care,Baby Care,Timios,"Zookers Animal Shaped Biscuits - Cherry Bits, 12+ Months, No Preservatives, No Added Colours",150 g,MRP: Rs 160,baby-care,baby-food-formula,baby-food,150,g
Grocery/General Stores,Party Essentials,Nabhas,Disposable Cup - 250 ML,50 pcs,Rs 95,cleaning-household,party-festive-needs,disposable-cups-plates,50,pc
Grocery/General Stores,Dry Fruits & Nuts,PRISTINE,Fields Of Gold Organic Cashew/Godambi nuts,100 g Pouch,Rs 182.36,foodgrains-oil-masala,organic-staples,organic-dry-fruits,100,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",MeraKisan,Organic Jaggery/Bella Powder,500 g Pouch,MRP: Rs 85,foodgrains-oil-masala,organic-staples,organic-sugar-jaggery,500,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",999,Synthetic Food Colour Preparation Orange Red,10 g,MRP: Rs 20,snacks-branded-foods,ready-to-cook-eat,home-baking,10,g
Grocery/General Stores,Ghee and Oil,Anandham,Cold-Pressed (Chekku) Sesame Oil,1 L,Rs 381.90,foodgrains-oil-masala,edible-oils-ghee,gingelly-oil,1,l
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Thums Up,Soft Drink,250 ml,MRP: Rs 20,beverages,energy-soft-drinks,cold-drinks,250,ml
Grocery/General Stores,"Spreads, Sauces and Canned Food",Bagrrys,"Natural Peanut Butter - Crunchy, Unsweetened",1 kg Jar,MRP: Rs 425,snacks-branded-foods,spreads-sauces-ketchup,choco-nut-spread,1,kg
Grocery/General Stores,Household and Kitchen needs,GlanzMeister,Dishwasher All In One Tablet,350 g,Rs 324,cleaning-household,all-purpose-cleaners,imported-cleaners,350,g
Personal Care,Baby Care,Pampers,New Small - 86 Diaper Pants,86 pcs - Rs 861.75,Rs 861.75,baby-care,diapers-wipes,baby-nappy-pads,86,pc
Grocery/General Stores,"Utensils, Plastics & Storage",Cello,Lifestyle Stainless Steel Flask,1 L - Rs 909.00,Rs 909,kitchen-garden-pets,flask-casserole,vacuum-flask,1,l
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Red Bull,Energy Drink,350 ml Can - Rs 145.00,MRP: Rs 145,beverages,energy-soft-drinks,sports-energy-drinks,350,ml
Grocery/General Stores,Household and Kitchen needs,Exo,All Surface Disinfectant,450 ml,Rs 130,cleaning-household,detergents-dishwash,dishwash-liquids-pastes,450,ml
Grocery/General Stores,"Spreads, Sauces and Canned Food",Veeba,Sandwich Spread - Cheese & Mushroom,280 g,MRP: Rs 94,snacks-branded-foods,spreads-sauces-ketchup,jam-conserve-marmalade,280,g
Personal Care,Baby Care,Johnson's baby,Hair Oil with Avocado,100 ml,Rs 803,baby-care,baby-bath-hygiene,baby-hair-oil,100,ml
